qid,category,question,system_answer,gold_answer,evidence,verdict_mem0,verdict_mem0_4o,verdict_strict,verdict_mnemoverse,truth_label
1,temporal,When did Melanie paint a sunrise?,2022,2022,D1:12,1.0,1.0,1.0,1.0,
2,open_domain,What fields would Caroline be likely to pursue in her educaton?,"counseling, mental health","Psychology, counseling certification",D1:9; D1:11,1.0,1.0,0.0,1.0,
3,multi_hop,What did Caroline research?,"adoption agencies, counseling or mental health work, counseling and mental health as a career, counseling and mental health jobs",Adoption agencies,D2:8,1.0,1.0,0.0,1.0,
4,multi_hop,What is Caroline's identity?,trans woman,Transgender woman,D1:5,1.0,1.0,1.0,1.0,
5,temporal,When did Melanie run a charity race?,2023-05-20,The sunday before 25 May 2023,D2:1,1.0,1.0,0.0,0.0,
7,multi_hop,What is Caroline's relationship status?,single,Single,D3:13; D2:14,1.0,1.0,1.0,1.0,
8,temporal,When did Caroline give a speech at a school?,Last week (2023-06-09),The week before 9 June 2023,D3:1,1.0,1.0,0.0,0.0,
9,temporal,"When did Caroline meet up with her friends, family, and mentors?",Last week (2023-06-09),The week before 9 June 2023,D3:11,1.0,1.0,0.0,0.0,
11,multi_hop,Where did Caroline move from 4 years ago?,Sweden,Sweden,D3:13; D4:3,1.0,1.0,1.0,1.0,
12,temporal,How long ago was Caroline's 18th birthday?,ten years ago (2023-06-27),10 years ago,D4:5,1.0,1.0,0.0,1.0,
13,multi_hop,What career path has Caroline decided to persue?,counseling and mental health,counseling or mental health for Transgender people,D4:13; D1:11,1.0,1.0,0.0,0.0,
15,multi_hop,What activities does Melanie partake in?,"pottery, painting, running, clarinet, violin, swimming, camping, beach, museum, park, volunteering at a homeless shelter, charity race, reading, live music, concert, feed a horse a carrot","pottery, camping, painting, swimming",D5:4; D9:1; D1:12; D1:18,1.0,1.0,0.0,1.0,
16,temporal,When did Melanie sign up for a pottery class?,2023-07-02,2 July 2023,D5:4,1.0,1.0,1.0,1.0,
17,temporal,When is Caroline going to the transgender conference?,July 2023,July 2023,D5:13,1.0,1.0,1.0,1.0,
18,multi_hop,Where has Melanie camped?,"the beach, the forest, the mountains","beach, mountains, forest",D6:16; D4:6; D8:32,1.0,1.0,1.0,1.0,
20,temporal,When did Melanie go to the museum?,2023-07-05,5 July 2023,D6:4,1.0,1.0,1.0,1.0,
21,temporal,When did Caroline have a picnic?,"Last week (6 July, 2023)",The week before 6 July 2023,D6:11,0.0,1.0,0.0,0.0,
23,multi_hop,What books has Melanie read?,Charlotte's Web,"""Nothing is Impossible"", ""Charlotte's Web""",D7:8; D6:10,1.0,1.0,0.0,0.0,
24,multi_hop,What does Melanie do to destress?,running,"Running, pottery",D7:22; D5:4,1.0,1.0,0.0,0.0,
25,temporal,When did Caroline go to the LGBTQ conference?,2023-07-10,10 July 2023,D7:1,1.0,1.0,1.0,1.0,
26,temporal,"When did Melanie read the book ""nothing is impossible""?",2022,2022,D7:8,1.0,1.0,1.0,1.0,
27,open_domain,Would Caroline pursue writing as a career option?,No.,"LIkely no; though she likes reading, she wants to be a counselor",D7:5; D7:9,1.0,1.0,0.0,1.0,
29,temporal,When did Melanie go to the pottery workshop?,2023-07-14,The Friday before 15 July 2023,D8:2,1.0,1.0,1.0,1.0,
32,multi_hop,What LGBTQ+ events has Caroline participated in?,"LGBTQ support group, LGBTQ+ counseling workshop, LGBTQ conference, transgender poetry reading, LGBTQ+ pride parade, pride parade, LGBT pride event, Pride fest","Pride parade, school speech, support group",D5:1; D8:17; D3:1; D1:3,1.0,1.0,0.0,0.0,
36,temporal,When did Caroline join a mentorship program?,2023-07-15–2023-07-16,The weekend before 17 July 2023,D9:2,1.0,1.0,1.0,1.0,
